iter	Passed	Remaining
0	1	103
1	2	107
2	3	115
3	4	112
4	5	112
5	6	109
6	8	106
7	9	104
8	10	103
9	11	102
10	12	101
11	13	100
12	15	100
13	16	99
14	17	98
15	18	97
16	19	95
17	20	94
18	21	93
19	22	91
20	24	90
21	25	88
22	26	87
23	27	87
24	29	87
25	30	86
26	31	84
27	32	83
28	33	81
29	34	80
30	35	79
31	37	78
32	38	78
33	40	77
34	41	76
35	42	75
36	43	74
37	44	73
38	45	71
39	46	70
40	48	69
41	48	67
42	50	66
43	51	65
44	52	64
45	53	63
46	54	62
47	56	60
48	57	59
49	58	58
50	59	57
51	60	56
52	61	54
53	63	53
54	64	52
55	65	51
56	66	50
57	67	49
58	69	48
59	70	46
60	71	45
61	72	44
62	73	43
63	75	42
64	76	41
65	77	40
66	78	38
67	79	37
68	81	36
69	82	35
70	83	34
71	84	32
72	85	31
73	86	30
74	88	29
75	89	28
76	90	27
77	91	25
78	92	24
79	93	23
80	95	22
81	96	21
82	97	19
83	99	18
84	100	17
85	102	16
86	103	15
87	104	14
88	105	13
89	107	11
90	108	10
91	109	9
92	110	8
93	111	7
94	113	5
95	114	4
96	115	3
97	116	2
98	117	1
99	118	0
