iter	Passed	Remaining
0	153	153660
1	155	77713
2	156	52171
3	158	39390
4	159	31750
5	160	26661
6	162	23004
7	163	20244
8	164	18102
9	165	16377
10	166	14976
11	168	13866
12	169	12898
13	171	12062
14	172	11316
15	174	10711
16	175	10141
17	176	9631
18	177	9170
19	178	8760
20	180	8392
21	182	8094
22	183	7805
23	185	7524
24	186	7259
25	187	7018
26	188	6798
27	189	6586
28	190	6389
29	191	6206
30	193	6037
31	194	5883
32	196	5753
33	197	5621
34	199	5493
35	201	5390
36	203	5287
37	204	5174
38	205	5065
39	206	4959
40	207	4859
41	209	4774
42	211	4700
43	212	4618
44	214	4542
45	215	4467
46	216	4393
47	218	4329
48	219	4268
49	221	4209
50	223	4167
51	225	4113
52	227	4064
53	228	4008
54	230	3953
55	231	3899
56	232	3845
57	233	3794
58	235	3748
59	236	3710
60	238	3672
61	240	3636
62	241	3593
63	242	3551
64	243	3507
65	245	3469
66	246	3431
67	247	3392
68	248	3355
69	250	3322
70	251	3295
71	253	3268
72	255	3239
73	256	3212
74	258	3187
75	260	3162
76	261	3138
77	263	3110
78	264	3084
79	266	3063
80	268	3046
81	270	3024
82	271	2996
83	272	2973
84	274	2951
85	275	2928
86	277	2907
87	279	2892
88	281	2881
89	283	2863
90	285	2847
91	286	2827
92	287	2807
93	289	2788
94	290	2767
95	291	2746
96	292	2726
97	294	2713
98	297	2703
99	298	2687
100	299	2668
101	301	2656
102	303	2641
103	304	2626
104	305	2607
105	307	2597
106	310	2589
107	311	2576
108	313	2559
109	314	2547
110	316	2534
111	317	2518
112	318	2502
113	320	2488
114	322	2479
115	324	2472
116	326	2460
117	327	2449
118	328	2435
119	330	2420
120	331	2406
121	332	2393
122	334	2381
123	335	2370
124	337	2361
125	338	2351
126	340	2339
127	341	2328
128	343	2318
129	344	2306
130	345	2294
131	347	2286
132	349	2275
133	351	2269
134	352	2261
135	354	2253
136	356	2244
137	357	2234
138	358	2222
139	359	2211
140	361	2199
141	361	2186
142	363	2175
143	364	2166
144	366	2159
145	367	2151
146	369	2141
147	370	2131
148	371	2121
149	372	2111
150	373	2102
151	375	2093
152	376	2082
153	378	2079
154	380	2076
155	382	2069
156	383	2061
157	385	2052
158	386	2044
159	388	2037
160	388	2026
161	390	2018
162	391	2010
163	393	2003
164	395	2000
165	397	1995
166	398	1988
167	400	1981
168	401	1973
169	402	1965
170	403	1957
171	405	1950
172	406	1941
173	407	1934
174	409	1930
175	411	1924
176	412	1918
177	413	1910
178	414	1903
179	416	1895
180	417	1887
181	418	1880
182	419	1873
183	420	1866
184	422	1859
185	423	1854
186	425	1850
187	427	1844
188	428	1837
189	429	1830
190	430	1824
191	431	1817
192	433	1811
193	434	1804
194	435	1797
195	436	1790
196	438	1785
197	440	1782
198	441	1776
199	442	1769
200	443	1763
201	445	1758
202	446	1751
203	447	1745
204	448	1739
205	449	1732
206	450	1726
207	452	1722
208	454	1718
209	455	1714
210	457	1708
211	458	1703
212	459	1697
213	460	1691
214	461	1685
215	462	1679
216	463	1673
217	464	1667
218	465	1661
219	467	1658
220	469	1653
221	470	1648
222	471	1643
223	472	1638
224	474	1633
225	475	1627
226	476	1622
227	477	1618
228	479	1614
229	480	1609
230	482	1606
231	484	1602
232	485	1597
233	486	1593
234	487	1588
235	489	1583
236	490	1578
237	491	1573
238	492	1569
239	493	1564
240	495	1560
241	497	1558
242	499	1554
243	500	1550
244	501	1546
245	502	1541
246	504	1536
247	505	1531
248	506	1526
249	507	1522
250	508	1517
251	509	1513
252	511	1509
253	513	1507
254	514	1503
255	515	1499
256	517	1495
257	518	1490
258	519	1486
259	520	1481
260	521	1477
261	523	1473
262	524	1469
263	526	1467
264	527	1464
265	529	1460
266	530	1456
267	531	1452
268	533	1449
269	534	1444
270	535	1441
271	536	1437
272	538	1432
273	541	1434
274	543	1432
275	544	1428
276	545	1424
277	547	1421
278	548	1416
279	549	1412
280	550	1408
281	551	1404
282	554	1405
283	557	1404
284	558	1401
285	560	1398
286	561	1395
287	562	1391
288	564	1387
289	565	1384
290	566	1380
291	568	1378
